id,y,period_str,period_int
3_t9,-2.4913514,t9,9
1_t1,2.0592139,t1,1
2_t7,-2.157718,t7,7
0_t1,3.2705698,t1,1
3_t10,-1.910686,t10,10
1_t5,0.3587051,t5,5
2_t8,-2.369701,t8,8
0_t5,3.020198,t5,5
0_t3,3.28266,t3,3
0_t8,0.9090144,t8,8
2_t9,-2.9450386,t9,9
0_t9,-2.0124917,t9,9
1_t9,-3.020097,t9,9
0_t4,2.6255589,t4,4
1_t7,-2.9664216,t7,7
1_t8,-2.967257,t8,8
1_t4,-0.29662308,t4,4
0_t7,-0.21110661,t7,7
0_t2,3.9786632,t2,2
1_t0,2.1107507,t0,0
1_t3,0.99051064,t3,3
2_t10,-2.2677975,t10,10
1_t2,2.115395,t2,2
0_t0,2.8565679,t0,0
0_t10,-1.4121244,t10,10
0_t6,3.439043,t6,6
1_t10,-2.812054,t10,10
1_t6,-1.6270298,t6,6
2_t6,-0.60159916,t6,6
3_t8,1.0522459,t8,8
