id,phase,size,sync_component,diac_component,lineage_size,meta,x,y,z
1183_2009-06-01,2009-06-01,44,0,19,24.682489740299005,NA,-4.713518,2.669818,-4.1604543
793_2010-06-01,2010-06-01,42,0,19,26.71307798481711,NA,-4.52766,2.807524,-3.952413
959_2008-06-01,2008-06-01,62,0,28,24.644716335949475,NA,-2.5387738,0.9148357,-2.3462512
1195_2010-06-01,2010-06-01,32,0,45,17.614308498519023,NA,-5.429153,-0.31366706,-5.41348
751_2009-06-01,2009-06-01,88,0,-1,35.3719105042196,NA,-5.203246,0.33039147,-5.072788
1035_2010-06-01,2010-06-01,89,-1,-1,33.358805511226066,NA,-6.340467,0.88520575,-6.088333
1143_2009-06-01,2009-06-01,41,0,37,21.70376712328767,NA,-0.6226374,-4.3591647,-1.4345179
1004_2003-06-01,2003-06-01,71,2,-1,19.52400725987917,NA,4.608676,-0.8519502,4.3533754
816_2009-06-01,2009-06-01,85,0,-1,29.240039495577207,NA,-4.9664826,0.11986787,-4.878861
1270_2010-06-01,2010-06-01,37,0,37,23.33783783783784,NA,-0.8745393,-4.2111115,-1.6548332
687_2003-06-01,2003-06-01,88,-1,13,23.756456329085903,NA,4.3910856,0.090488955,4.313131
107_2008-06-01,2008-06-01,78,0,39,18.36400447112328,NA,-2.6214886,0.04192257,-2.5883632
55_2004-06-01,2004-06-01,23,0,1,15.98876404494382,NA,5.4850926,3.2810795,5.9762025
650_2005-06-01,2005-06-01,117,-1,2,45.574286377500336,NA,3.2612014,0.018976748,3.1894114
49_2009-06-01,2009-06-01,61,0,38,22.446735190080126,NA,-4.430575,0.013770762,-4.371671
994_2007-06-01,2007-06-01,57,0,32,21.29203125078623,NA,-1.8905182,1.4999765,-1.6012933
763_2003-06-01,2003-06-01,40,-1,3,22.48295800365186,NA,5.470726,1.1204664,5.5640407
112_2003-06-01,2003-06-01,21,0,1,12.876029055690072,NA,5.897511,2.74912,6.2835608
592_2003-06-01,2003-06-01,42,0,9,17.44709486968887,NA,3.8706748,-0.42871717,3.7059762
618_2004-06-01,2004-06-01,28,0,15,11.353966623876765,NA,7.453978,0.49680993,7.3984537
330_2005-06-01,2005-06-01,29,-1,15,18.941176470588236,NA,7.758318,0.37532267,7.6752033
1204_2008-06-01,2008-06-01,28,0,36,13.103910795087266,NA,-2.5933504,-3.8304596,-3.274099
643_2008-06-01,2008-06-01,64,0,34,18.4014786793496,NA,-3.0653946,-2.7183082,-3.5331771
775_2009-06-01,2009-06-01,51,0,28,38.90983372968299,NA,-3.3093896,0.85944575,-3.1138813
671_2008-06-01,2008-06-01,53,0,26,23.9840923502968,NA,-4.977433,-1.5221215,-5.192121
462_2003-06-01,2003-06-01,42,0,0,20.138782450426284,NA,5.4203176,-2.0653303,4.927589
1066_2008-06-01,2008-06-01,37,0,34,18.295916947312758,NA,-2.7748907,-1.6258786,-3.0463917
307_2005-06-01,2005-06-01,23,1,20,23.0,NA,4.064812,3.1516669,4.55639
929_2003-06-01,2003-06-01,122,-1,2,29.279063761965556,NA,4.9958134,-0.8231504,4.739192
831_2003-06-01,2003-06-01,48,-1,6,19.03218979469972,NA,4.7883253,2.829165,5.208106
1065_2009-06-01,2009-06-01,47,0,22,19.587144034643373,NA,-2.93223,-3.3399606,-3.516816
1445_2008-06-01,2008-06-01,106,0,-1,25.062935628004304,NA,-0.68807316,3.2046726,-0.10538032
1231_2008-06-01,2008-06-01,86,0,-1,24.76778151526584,NA,-1.1777087,0.5655114,-1.0728365
93_2007-06-01,2007-06-01,25,0,18,18.610290371879778,NA,-0.26175112,-1.6328833,-0.5775575
882_2008-06-01,2008-06-01,51,0,-1,18.268361523618925,NA,-2.8269472,2.320463,-2.3705394
230_2003-06-01,2003-06-01,32,1,4,16.657531875228866,NA,3.511979,-1.1110793,3.2277117
776_2003-06-01,2003-06-01,34,0,5,14.301924835454614,NA,5.9552035,2.6181097,6.31613
1054_2009-06-01,2009-06-01,22,-1,45,14.444444444444443,NA,-4.999551,-0.31557736,-4.9915833
223_2007-06-01,2007-06-01,23,0,30,19.32,NA,-1.3090242,-1.8967875,-1.6555234
502_2007-06-01,2007-06-01,61,1,19,20.705794544491777,NA,-0.2752533,-1.1899029,-0.5092202
130_2008-06-01,2008-06-01,52,0,40,16.529943934070147,NA,-2.5629308,-0.63586676,-2.6556742
447_2004-06-01,2004-06-01,55,0,10,24.115179994451843,NA,4.257457,0.39961973,4.238739
850_2007-06-01,2007-06-01,46,0,26,23.784188887779216,NA,-1.49005,-0.38770956,-1.5554397
704_2004-06-01,2004-06-01,57,-1,12,20.980324280449345,NA,3.8979855,-0.010565651,3.8098538
