source,target,weight,phase,type,sync_component
261_2002-06-01,696_2002-06-01,4.0,2002-06-01,sync,-1
341_2002-06-01,83_2002-06-01,4.0,2002-06-01,sync,-1
159_2002-06-01,444_2002-06-01,3.0,2002-06-01,sync,-1
444_2002-06-01,584_2002-06-01,8.0,2002-06-01,sync,-1
261_2002-06-01,446_2002-06-01,3.0,2002-06-01,sync,-1
488_2002-06-01,832_2002-06-01,3.0,2002-06-01,sync,-1
571_2002-06-01,955_2002-06-01,73.0,2002-06-01,sync,-1
373_2002-06-01,598_2002-06-01,2.0,2002-06-01,sync,-1
350_2002-06-01,696_2002-06-01,2.0,2002-06-01,sync,-1
571_2002-06-01,791_2002-06-01,22.0,2002-06-01,sync,-1
446_2002-06-01,900_2002-06-01,4.0,2002-06-01,sync,-1
13_2002-06-01,908_2002-06-01,4.0,2002-06-01,sync,-1
107_2003-06-01,112_2003-06-01,5.0,2003-06-01,sync,-1
107_2003-06-01,251_2003-06-01,5.0,2003-06-01,sync,-1
107_2003-06-01,367_2003-06-01,5.0,2003-06-01,sync,-1
107_2003-06-01,592_2003-06-01,4.0,2003-06-01,sync,-1
107_2003-06-01,532_2003-06-01,2.0,2003-06-01,sync,-1
112_2003-06-01,117_2003-06-01,6.0,2003-06-01,sync,-1
112_2003-06-01,177_2003-06-01,6.0,2003-06-01,sync,-1
272_2003-06-01,532_2003-06-01,2.0,2003-06-01,sync,-1
177_2003-06-01,272_2003-06-01,6.0,2003-06-01,sync,-1
388_2003-06-01,555_2003-06-01,5.0,2003-06-01,sync,-1
367_2003-06-01,462_2003-06-01,4.0,2003-06-01,sync,-1
462_2003-06-01,532_2003-06-01,3.0,2003-06-01,sync,-1
112_2003-06-01,471_2003-06-01,9.0,2003-06-01,sync,-1
112_2003-06-01,525_2003-06-01,5.0,2003-06-01,sync,-1
112_2003-06-01,532_2003-06-01,4.0,2003-06-01,sync,-1
230_2003-06-01,555_2003-06-01,3.0,2003-06-01,sync,-1
112_2003-06-01,670_2003-06-01,6.0,2003-06-01,sync,-1
592_2003-06-01,776_2003-06-01,4.0,2003-06-01,sync,-1
