id,phase,size,sync_component,diac_component,lineage_size,meta,source,target,x,y,z
316_2012,2012,34,-1,-1,6.645902792019453,NA,105|&|2936|&|2223|&|458|&|1054|&|736|&|902|&|3141|&|5|&|222|&|708|&|2088|&|460|&|527|&|482|&|208|&|160|&|1042|&|3359|&|2257|&|1036|&|1605|&|2053|&|2703|&|342|&|3398|&|2719|&|742|&|2918|&|2873|&|2213|&|1948|&|1513|&|1930,331|&|353|&|247|&|372|&|245|&|533|&|15|&|435|&|196|&|251|&|432|&|229|&|402|&|300|&|110|&|345|&|270|&|504|&|180|&|28|&|19|&|49|&|431|&|548|&|59|&|363|&|267|&|90|&|348|&|352|&|207|&|329|&|51|&|286|&|324|&|78|&|227|&|175|&|253|&|3|&|182|&|167|&|505|&|503|&|125|&|466|&|276|&|532|&|250|&|284|&|425|&|277|&|415|&|212|&|401|&|156|&|337|&|350|&|526|&|293|&|513|&|385|&|120|&|469|&|390|&|448|&|512|&|211|&|405|&|373|&|202|&|559|&|419,-8.8471575,-1.3007199,-8.643098
61_1987,1987,74,-1,-1,7.491271603325933,NA,2565|&|15|&|1687|&|3189|&|815|&|3327|&|1188|&|1827|&|2091|&|3387|&|0|&|3486|&|240|&|1985|&|2835|&|3131|&|1809|&|3440|&|324|&|2335|&|1788|&|32|&|1327|&|1559|&|1681|&|1859|&|2472|&|325|&|2783|&|1851|&|1115|&|414|&|489|&|1104|&|2538|&|1874|&|2959|&|574|&|498|&|3337|&|1134|&|2576|&|2663|&|2769|&|2946|&|2986|&|2640|&|839|&|268|&|1766|&|1285|&|1098|&|273|&|611|&|2999|&|1803|&|3068|&|1233|&|30|&|1290|&|1023|&|757|&|3052|&|3176|&|998|&|1286|&|1906|&|1763|&|1845|&|1562|&|2463|&|2647|&|2690|&|1027,331|&|375|&|166|&|349|&|434|&|476|&|479|&|129|&|162|&|46|&|558|&|188|&|431|&|305|&|43|&|518|&|507|&|553|&|59|&|383|&|408|&|130|&|313|&|517|&|414|&|315|&|470|&|459|&|149|&|471|&|464|&|415|&|30|&|312|&|58|&|462|&|448|&|541|&|146|&|153|&|211|&|161|&|287|&|72|&|242|&|388|&|105|&|159|&|15|&|301|&|86|&|177|&|194|&|237|&|270|&|200|&|502|&|180|&|193|&|51|&|324|&|295|&|183|&|289|&|296|&|199|&|126|&|82|&|18|&|167|&|83|&|456|&|272|&|472|&|273|&|309|&|136|&|469|&|455|&|404|&|322|&|485|&|493|&|380|&|508|&|168|&|88|&|398|&|533|&|269|&|458|&|232|&|345|&|104|&|557|&|463|&|241|&|556|&|524|&|267|&|445|&|348|&|9|&|116|&|399|&|127|&|175|&|158|&|482|&|106|&|203|&|505|&|392|&|139|&|77|&|80|&|304|&|466|&|62|&|115|&|337|&|230|&|132|&|100|&|390|&|321|&|231|&|512|&|373|&|29|&|31|&|447|&|45|&|285|&|64|&|131|&|294|&|374|&|174|&|97|&|433|&|280|&|347|&|364|&|413|&|192|&|378|&|246|&|78|&|451|&|117|&|543|&|407|&|124|&|266|&|320|&|450|&|250|&|94|&|444|&|425|&|422|&|465|&|401|&|23|&|238|&|443|&|515|&|44|&|391|&|216|&|262|&|191|&|544|&|306|&|426,13.343291,1.2743351,13.695626
391_2012,2012,20,1,6,4.737068965517242,NA,3432|&|3366|&|2962|&|3156|&|2501|&|2268|&|363|&|1130|&|1925|&|2968|&|3134|&|2447|&|393|&|2311|&|1476|&|1968|&|598|&|545|&|84|&|1957,400|&|375|&|46|&|188|&|431|&|68|&|553|&|490|&|130|&|470|&|2|&|464|&|415|&|69|&|36|&|513|&|448|&|405|&|165|&|161|&|103|&|287|&|388|&|105|&|494|&|177|&|237|&|28|&|152|&|90|&|324|&|227|&|82|&|125|&|386|&|24|&|535|&|418|&|215|&|120|&|217|&|214|&|22|&|423|&|236|&|229|&|181|&|345|&|340|&|267|&|445|&|348|&|537|&|61|&|198|&|222|&|127|&|521|&|253|&|370|&|147|&|163|&|77|&|420|&|80|&|498|&|87|&|303|&|337|&|495|&|427|&|67|&|11|&|390|&|373|&|29|&|536|&|353|&|143|&|196|&|374|&|453|&|376|&|63|&|364|&|308|&|54|&|446|&|366|&|76|&|543|&|379|&|407|&|266|&|450|&|475|&|401|&|102|&|213|&|262|&|245|&|202,-5.0798936,5.690953,-4.144322
113_1977,1977,151,-1,-1,7.230595720069404,NA,860|&|3006|&|1967|&|1108|&|1188|&|1589|&|0|&|3334|&|2979|&|3151|&|60|&|2422|&|696|&|1271|&|3263|&|1398|&|588|&|2517|&|1782|&|3000|&|2482|&|2643|&|2524|&|412|&|827|&|968|&|3082|&|145|&|1613|&|496|&|3093|&|2778|&|3299|&|3333|&|649|&|772|&|1286|&|3484|&|103|&|108|&|142|&|494|&|2262|&|3008|&|2383|&|3394|&|1563|&|1802|&|2983|&|1821|&|2861|&|3459|&|1653|&|1776|&|1713|&|295|&|1938|&|27|&|2256|&|2113|&|1641|&|2707|&|2153|&|1017|&|963|&|1840|&|1725|&|3100|&|1080|&|1523|&|2599|&|555|&|717|&|2729|&|562|&|1185|&|1134|&|264|&|2361|&|3088|&|892|&|1011|&|398|&|685|&|2015|&|1061|&|870|&|1637|&|2491|&|3434|&|1632|&|1025|&|2889|&|2439|&|1894|&|921|&|2543|&|267|&|2279|&|3262|&|1867|&|2930|&|2688|&|304|&|1608|&|2663|&|1292|&|1811|&|2348|&|768|&|73|&|3176|&|898|&|3231|&|2807|&|2479|&|2666|&|1975|&|1237|&|3187|&|323|&|582|&|960|&|63|&|53|&|2190|&|2229|&|76|&|679|&|379|&|2516|&|2352|&|655|&|266|&|1581|&|2024|&|2334|&|2337|&|2905|&|2114|&|265|&|2841|&|3424|&|1223|&|2427|&|1156|&|1831|&|1647|&|306|&|406|&|2649,367|&|375|&|166|&|328|&|311|&|349|&|476|&|251|&|479|&|540|&|56|&|129|&|46|&|96|&|47|&|278|&|305|&|68|&|507|&|49|&|60|&|506|&|352|&|497|&|218|&|490|&|155|&|383|&|26|&|255|&|489|&|414|&|66|&|532|&|471|&|206|&|109|&|148|&|69|&|260|&|30|&|187|&|462|&|545|&|146|&|541|&|153|&|405|&|287|&|388|&|403|&|142|&|105|&|257|&|297|&|177|&|384|&|237|&|194|&|270|&|502|&|240|&|228|&|424|&|200|&|486|&|180|&|28|&|134|&|363|&|193|&|51|&|324|&|157|&|295|&|429|&|183|&|484|&|289|&|199|&|126|&|18|&|185|&|519|&|167|&|184|&|339|&|55|&|389|&|70|&|272|&|552|&|368|&|344|&|440|&|156|&|472|&|273|&|539|&|309|&|24|&|136|&|469|&|210|&|404|&|493|&|508|&|168|&|264|&|214|&|411|&|499|&|396|&|533|&|269|&|81|&|232|&|110|&|226|&|345|&|557|&|357|&|463|&|13|&|441|&|524|&|267|&|445|&|348|&|9|&|198|&|1|&|116|&|399|&|127|&|158|&|48|&|371|&|370|&|106|&|492|&|203|&|392|&|139|&|77|&|35|&|304|&|369|&|80|&|474|&|91|&|452|&|115|&|73|&|230|&|132|&|510|&|11|&|354|&|231|&|512|&|390|&|525|&|235|&|373|&|29|&|447|&|45|&|285|&|64|&|196|&|174|&|374|&|20|&|97|&|433|&|280|&|347|&|54|&|192|&|416|&|378|&|78|&|246|&|117|&|209|&|244|&|407|&|124|&|50|&|266|&|179|&|436|&|135|&|437|&|52|&|94|&|252|&|224|&|444|&|346|&|195|&|277|&|465|&|397|&|238|&|385|&|40|&|480|&|391|&|216|&|191|&|219|&|306|&|150,15.065619,1.9615986,15.481985
649_2012,2012,6,1,6,1.5584415584415585,NA,2990|&|3401|&|1526|&|900|&|895|&|947,540|&|279|&|46|&|188|&|49|&|553|&|59|&|155|&|489|&|160|&|470|&|2|&|315|&|412|&|532|&|439|&|464|&|415|&|69|&|36|&|93|&|545|&|405|&|165|&|161|&|103|&|108|&|388|&|105|&|494|&|177|&|237|&|491|&|152|&|90|&|227|&|197|&|341|&|82|&|125|&|386|&|156|&|24|&|535|&|215|&|310|&|214|&|22|&|423|&|435|&|236|&|229|&|483|&|402|&|181|&|110|&|345|&|556|&|267|&|445|&|222|&|537|&|61|&|348|&|198|&|1|&|74|&|521|&|253|&|370|&|189|&|163|&|80|&|420|&|271|&|87|&|495|&|427|&|67|&|390|&|373|&|536|&|353|&|143|&|196|&|374|&|453|&|376|&|63|&|364|&|308|&|54|&|446|&|366|&|76|&|543|&|379|&|407|&|266|&|475|&|164|&|401|&|201|&|213|&|102|&|202|&|306,-5.7052975,5.265493,-4.8119326
400_2007,2007,7,1,6,0,NA,895|&|2947|&|363|&|3366|&|399|&|3401|&|1957,353|&|494|&|143|&|533|&|172|&|196|&|236|&|458|&|540|&|374|&|483|&|402|&|300|&|345|&|491|&|453|&|152|&|63|&|308|&|267|&|60|&|348|&|61|&|1|&|128|&|76|&|227|&|253|&|370|&|379|&|2|&|412|&|163|&|125|&|420|&|304|&|501|&|439|&|475|&|464|&|156|&|342|&|555|&|312|&|495|&|36|&|67|&|119|&|467|&|213|&|373|&|202|&|161|&|103|&|382,-5.1798377,5.328914,-4.282698
63_1987,1987,24,-1,0,1.4044215742328952,NA,1777|&|2303|&|2874|&|1444|&|2060|&|3049|&|1971|&|1437|&|376|&|2170|&|2243|&|919|&|1557|&|1645|&|147|&|980|&|2580|&|3184|&|2313|&|2895|&|1622|&|1079|&|1344|&|1021,400|&|301|&|251|&|479|&|129|&|345|&|504|&|170|&|5|&|395|&|90|&|454|&|193|&|192|&|38|&|185|&|83|&|139|&|532|&|250|&|444|&|464|&|361|&|225|&|336|&|322|&|121|&|373|&|264|&|72|&|299|&|388|&|419,12.782214,-0.1078135,12.988871
218_2012,2012,26,0,-1,3.8598336304218654,NA,916|&|2684|&|2003|&|3415|&|1333|&|1643|&|2595|&|2726|&|2702|&|489|&|272|&|1098|&|238|&|2773|&|1616|&|1836|&|3353|&|1219|&|1905|&|3043|&|2717|&|1190|&|3281|&|1143|&|1833|&|1850,367|&|251|&|530|&|129|&|46|&|278|&|305|&|352|&|333|&|130|&|383|&|313|&|470|&|2|&|315|&|532|&|471|&|34|&|464|&|69|&|58|&|187|&|448|&|541|&|211|&|161|&|108|&|256|&|42|&|172|&|169|&|194|&|486|&|180|&|363|&|193|&|51|&|429|&|183|&|327|&|199|&|18|&|125|&|272|&|552|&|539|&|24|&|273|&|136|&|485|&|264|&|22|&|499|&|398|&|458|&|81|&|263|&|181|&|345|&|528|&|79|&|556|&|267|&|445|&|127|&|95|&|466|&|369|&|420|&|80|&|304|&|452|&|337|&|73|&|390|&|231|&|321|&|512|&|559|&|447|&|45|&|131|&|294|&|374|&|196|&|504|&|364|&|128|&|543|&|244|&|252|&|250|&|425|&|195|&|277|&|422|&|238|&|468|&|176|&|44|&|40|&|216|&|262,-4.5533104,-3.6701555,-4.629591
79_1992,1992,9,-1,0,2.8285714285714287,NA,62|&|857|&|1214|&|1971|&|1753|&|3056|&|1622|&|147|&|1961,507|&|395|&|225|&|135|&|276|&|154|&|51|&|195|&|422|&|541|&|527|&|345|&|543|&|95,12.643904,0.10912719,12.874744
108_1982,1982,106,-1,-1,8.846655716306929,NA,367|&|722|&|3006|&|457|&|2892|&|1995|&|0|&|838|&|3430|&|2840|&|2422|&|3386|&|218|&|3323|&|3000|&|1851|&|610|&|501|&|2648|&|1492|&|1785|&|2032|&|2086|&|2563|&|845|&|1286|&|1813|&|118|&|1640|&|1505|&|1802|&|3294|&|177|&|1835|&|1701|&|270|&|1636|&|28|&|733|&|1077|&|523|&|2940|&|325|&|2386|&|3295|&|2887|&|3431|&|1194|&|25|&|539|&|2288|&|1803|&|2567|&|714|&|3197|&|2419|&|3077|&|758|&|1983|&|522|&|2763|&|229|&|1950|&|2491|&|976|&|1181|&|2139|&|2856|&|2442|&|590|&|2033|&|87|&|498|&|3392|&|303|&|2005|&|3080|&|1012|&|1407|&|1609|&|1127|&|3176|&|2201|&|2565|&|3076|&|2479|&|3004|&|2129|&|726|&|960|&|63|&|1939|&|779|&|1859|&|2742|&|2087|&|2433|&|266|&|954|&|2537|&|465|&|1997|&|1374|&|391|&|986|&|1894,331|&|166|&|328|&|311|&|251|&|476|&|234|&|479|&|349|&|129|&|47|&|305|&|507|&|5|&|553|&|261|&|155|&|383|&|313|&|182|&|414|&|255|&|489|&|66|&|2|&|459|&|149|&|471|&|481|&|260|&|30|&|513|&|187|&|462|&|545|&|146|&|541|&|211|&|161|&|287|&|118|&|108|&|388|&|123|&|403|&|142|&|105|&|360|&|177|&|194|&|137|&|240|&|180|&|28|&|424|&|363|&|51|&|254|&|295|&|183|&|289|&|27|&|341|&|296|&|199|&|126|&|82|&|519|&|18|&|456|&|111|&|184|&|339|&|377|&|55|&|389|&|70|&|284|&|552|&|344|&|368|&|539|&|469|&|455|&|488|&|493|&|508|&|168|&|214|&|411|&|430|&|396|&|533|&|269|&|232|&|7|&|226|&|345|&|104|&|441|&|524|&|267|&|9|&|116|&|531|&|332|&|38|&|158|&|370|&|106|&|203|&|392|&|505|&|139|&|77|&|503|&|304|&|420|&|369|&|474|&|452|&|115|&|526|&|67|&|73|&|230|&|100|&|231|&|4|&|354|&|512|&|390|&|235|&|373|&|29|&|31|&|447|&|419|&|171|&|285|&|196|&|20|&|97|&|323|&|347|&|280|&|413|&|286|&|258|&|78|&|246|&|209|&|407|&|124|&|179|&|450|&|437|&|52|&|114|&|94|&|444|&|401|&|465|&|397|&|359|&|443|&|44|&|480|&|216|&|262|&|219|&|426,14.065223,1.6310998,14.4517975
