source,target,weight,phase,type,sync_component
112_2002,87_2002,9.0,2002,sync,-1
206_2007,413_2007,54.0,2007,sync,-1
400_2007,426_2007,44.0,2007,sync,-1
400_2007,461_2007,108.0,2007,sync,-1
692_2012,75_2012,7.0,2012,sync,-1
139_2012,391_2012,8.0,2012,sync,-1
218_2012,692_2012,27.0,2012,sync,-1
239_2012,391_2012,8.0,2012,sync,-1
246_2012,52_2012,27.0,2012,sync,-1
268_2012,649_2012,41.0,2012,sync,-1
412_2012,624_2012,6.0,2012,sync,-1
203_2012,526_2012,8.0,2012,sync,-1
367_2012,601_2012,2.0,2012,sync,-1
223_2012,611_2012,7.0,2012,sync,-1
624_2012,649_2012,24.0,2012,sync,-1
391_2012,649_2012,22.0,2012,sync,-1
50_2017,55_2017,23.0,2017,sync,-1
147_2017,520_2017,22.0,2017,sync,-1
147_2017,594_2017,39.0,2017,sync,-1
147_2017,150_2017,70.0,2017,sync,-1
256_2017,643_2017,11.0,2017,sync,-1
354_2017,960_2017,5.0,2017,sync,-1
354_2017,431_2017,7.0,2017,sync,-1
256_2017,405_2017,30.0,2017,sync,-1
147_2017,405_2017,19.0,2017,sync,-1
405_2017,960_2017,13.0,2017,sync,-1
449_2017,520_2017,6.0,2017,sync,-1
520_2017,594_2017,17.0,2017,sync,-1
256_2017,520_2017,42.0,2017,sync,-1
50_2017,520_2017,6.0,2017,sync,-1
520_2017,635_2017,15.0,2017,sync,-1
147_2017,550_2017,28.0,2017,sync,-1
520_2017,550_2017,30.0,2017,sync,-1
550_2017,571_2017,10.0,2017,sync,-1
571_2017,594_2017,16.0,2017,sync,-1
147_2017,571_2017,18.0,2017,sync,-1
520_2017,571_2017,21.0,2017,sync,-1
571_2017,960_2017,10.0,2017,sync,-1
431_2017,571_2017,7.0,2017,sync,-1
571_2017,635_2017,11.0,2017,sync,-1
550_2017,594_2017,9.0,2017,sync,-1
256_2017,594_2017,22.0,2017,sync,-1
256_2017,607_2017,10.0,2017,sync,-1
607_2017,960_2017,8.0,2017,sync,-1
1034_2017,607_2017,12.0,2017,sync,-1
594_2017,607_2017,10.0,2017,sync,-1
550_2017,635_2017,19.0,2017,sync,-1
405_2017,635_2017,33.0,2017,sync,-1
147_2017,635_2017,10.0,2017,sync,-1
50_2017,635_2017,15.0,2017,sync,-1
550_2017,643_2017,9.0,2017,sync,-1
50_2017,643_2017,6.0,2017,sync,-1
50_2017,835_2017,14.0,2017,sync,-1
256_2017,872_2017,17.0,2017,sync,-1
607_2017,872_2017,18.0,2017,sync,-1
405_2017,872_2017,13.0,2017,sync,-1
147_2017,872_2017,17.0,2017,sync,-1
635_2017,872_2017,17.0,2017,sync,-1
1028_2017,607_2017,6.0,2017,sync,-1
1034_2017,1125_2017,7.0,2017,sync,-1
1034_2017,550_2017,22.0,2017,sync,-1
1034_2017,960_2017,5.0,2017,sync,-1
1034_2017,635_2017,15.0,2017,sync,-1
1034_2017,256_2017,10.0,2017,sync,-1
1103_2017,960_2017,3.0,2017,sync,-1
1125_2017,147_2017,16.0,2017,sync,-1
1125_2017,550_2017,13.0,2017,sync,-1
1125_2017,405_2017,16.0,2017,sync,-1
1165_2017,354_2017,23.0,2017,sync,-1
1165_2017,150_2017,9.0,2017,sync,-1
63_1987,79_1992,0.1,1987,diac,0
46_1997,87_2002,0.13043478260869565,1997,diac,1
145_1997,188_2002,0.4375,1997,diac,2
243_2002,554_2007,0.16666666666666666,2002,diac,3
332_2007,161_2012,0.1111111111111111,2007,diac,4
350_2007,542_2012,0.1388888888888889,2007,diac,5
206_2007,649_2012,0.14285714285714285,2007,diac,6
400_2007,391_2012,0.125,2007,diac,6
400_2007,649_2012,0.18181818181818182,2007,diac,6
461_2007,391_2012,0.2413793103448276,2007,diac,6
692_2012,50_2017,0.12727272727272726,2012,diac,7
391_2012,1028_2017,0.12962962962962962,2012,diac,6
673_2012,1125_2017,0.2962962962962963,2012,diac,8
