id,phase,size,sync_component,diac_component,lineage_size,meta,source,target,x,y,z
240_2007,2007,18,0,15,6.758236146626526,NA,503|&|375|&|448|&|45|&|95|&|217|&|229|&|493|&|180|&|106|&|28|&|419|&|52|&|429|&|59|&|40|&|84|&|297,2697|&|1697|&|1715|&|192|&|2940|&|193|&|44|&|3365|&|3171|&|719|&|250|&|2791|&|1767|&|3086|&|2751|&|533|&|2582|&|3011|&|880|&|879|&|240|&|273|&|1479|&|2623|&|49|&|632|&|2097|&|2936|&|3062|&|3135|&|1087|&|2836|&|697|&|1475|&|761|&|1155|&|866|&|492|&|164|&|2199|&|2081|&|2937|&|2054|&|2992|&|707|&|160|&|749|&|1165|&|1481|&|2428|&|1036|&|417|&|212|&|3126|&|2072|&|526|&|1569|&|2981|&|1375|&|2119|&|2011|&|1559|&|1948|&|1379|&|2590|&|551,-2.481945,2.4194689,-2.8460972
338_2012,2012,34,0,23,8.580187987352957,NA,144|&|472|&|347|&|134|&|451|&|281|&|443|&|87|&|98|&|213|&|140|&|394|&|319|&|497|&|147|&|30|&|298|&|204|&|294|&|391|&|542|&|221|&|26|&|467|&|224|&|535|&|64|&|477|&|490|&|409|&|96|&|487|&|117|&|266,873|&|1718|&|885|&|1337|&|3092|&|184|&|2672|&|1238|&|984|&|2507|&|83|&|1199|&|2623|&|3395|&|454|&|2071|&|1172|&|139|&|638|&|3204|&|1382|&|3466|&|1891|&|1379|&|200|&|2773|&|1473|&|759|&|1402|&|1264|&|788|&|564|&|1595|&|2639|&|623|&|2802|&|1467|&|2260|&|225|&|1231|&|1868|&|2622|&|2953|&|1186|&|3138|&|3292|&|1373|&|1740|&|1578|&|2462|&|1590|&|1197|&|112|&|363|&|744|&|749|&|338|&|787|&|1151|&|600|&|3102|&|1924|&|1506|&|2697|&|320|&|889|&|3274|&|1515|&|2680|&|3289|&|1020|&|598|&|128|&|1892|&|288|&|399|&|2519|&|2168|&|1735|&|761|&|2947|&|2138|&|3127|&|1436|&|2109|&|2726|&|3326|&|2268|&|644|&|365|&|1706|&|1190|&|1559|&|612|&|3401|&|2004|&|402|&|2174|&|1881|&|3362|&|2620|&|2825|&|2533|&|1957|&|3016|&|953|&|848|&|909|&|1419|&|2886|&|1296|&|1783|&|949|&|1431|&|2149|&|3083|&|900|&|2098|&|2468|&|2108|&|2929|&|3339|&|2830|&|3481|&|1107|&|203|&|2357|&|1355|&|1076|&|1409|&|3156|&|2820|&|2534|&|2677|&|3044|&|1177|&|3071,-6.080676,0.61377066,-6.062035
202_2012,2012,37,0,21,9.025142308152317,NA,150|&|385|&|320|&|411|&|85|&|482|&|433|&|35|&|113|&|89|&|243|&|179|&|515|&|242|&|410|&|291|&|249|&|186|&|316|&|170|&|378|&|151|&|97|&|29|&|185|&|297|&|276|&|365|&|368|&|328|&|15|&|361|&|426|&|555|&|86|&|282|&|462,1095|&|3211|&|21|&|93|&|3092|&|1842|&|3285|&|3145|&|2813|&|222|&|1180|&|2969|&|3026|&|2623|&|2936|&|2790|&|1443|&|2092|&|2774|&|2591|&|3393|&|2071|&|903|&|1172|&|1034|&|1579|&|2789|&|816|&|1162|&|2480|&|1787|&|3204|&|1382|&|1688|&|3466|&|2900|&|3373|&|1275|&|308|&|2866|&|542|&|3001|&|385|&|390|&|739|&|1935|&|1075|&|564|&|2985|&|2709|&|2069|&|1400|&|623|&|2802|&|3410|&|1703|&|0|&|3053|&|3335|&|1231|&|2740|&|1868|&|3098|&|2050|&|1980|&|1373|&|2658|&|1590|&|658|&|1197|&|957|&|2232|&|2652|&|1652|&|3242|&|1146|&|1857|&|600|&|3102|&|2340|&|2630|&|2697|&|1506|&|320|&|2808|&|889|&|441|&|3274|&|1515|&|3122|&|3289|&|2391|&|2932|&|128|&|397|&|1892|&|1779|&|607|&|91|&|3474|&|2384|&|682|&|2168|&|828|&|945|&|2947|&|3364|&|1489|&|1436|&|221|&|26|&|644|&|742|&|8|&|365|&|1876|&|3007|&|160|&|176|&|2058|&|1316|&|1302|&|1761|&|1706|&|1284|&|1948|&|762|&|698|&|2659|&|1295|&|402|&|3258|&|226|&|948|&|1881|&|738|&|578|&|1257|&|2692|&|3249|&|1365|&|637|&|3230|&|3016|&|789|&|285|&|2531|&|902|&|1288|&|2886|&|1783|&|256|&|949|&|2332|&|3083|&|2149|&|186|&|2468|&|3385|&|1748|&|665|&|2053|&|3156|&|2534|&|2723|&|1528|&|3146|&|843|&|3044|&|2893|&|1177|&|1096,-6.3315363,0.7484571,-6.3330054
111_1997,1997,16,0,15,5.192791273054431,NA,208|&|374|&|110|&|402|&|466|&|526|&|501|&|366|&|354|&|59|&|157|&|156|&|180|&|393|&|57|&|1,489|&|140|&|533|&|1761|&|2286|&|333|&|903|&|2017|&|592|&|3398|&|284|&|843|&|1116|&|1668|&|810|&|1923,-0.08541381,-0.3965968,0.017205719
99_1987,1987,1,0,14,1.0,NA,444,489|&|1845|&|757|&|1906|&|2303|&|2663|&|1285|&|1448|&|1851|&|2783|&|45|&|3049|&|1079|&|2538|&|2946|&|485|&|1809|&|15|&|286|&|1188|&|1017|&|980|&|2499|&|1023,5.5630045,-3.2462456,6.085556
171_2012,2012,25,0,20,9.463390487978698,NA,330|&|209|&|60|&|442|&|546|&|362|&|106|&|142|&|527|&|428|&|358|&|158|&|359|&|157|&|174|&|398|&|311|&|132|&|145|&|65|&|479|&|346|&|52|&|344|&|551,2767|&|1718|&|1337|&|2330|&|885|&|93|&|1886|&|2672|&|984|&|961|&|796|&|2849|&|2876|&|2591|&|3393|&|335|&|2480|&|1787|&|775|&|1068|&|1862|&|2900|&|2210|&|3001|&|1826|&|759|&|1899|&|739|&|1935|&|1400|&|623|&|2802|&|584|&|3410|&|3388|&|0|&|225|&|1723|&|2720|&|3098|&|2012|&|563|&|1644|&|2462|&|658|&|3291|&|1209|&|238|&|1726|&|1658|&|338|&|3242|&|743|&|1588|&|1709|&|487|&|3468|&|2340|&|2630|&|1506|&|2808|&|2502|&|1515|&|3269|&|2391|&|74|&|128|&|1892|&|2865|&|1839|&|607|&|240|&|2519|&|2184|&|2601|&|1913|&|945|&|1368|&|1024|&|853|&|1399|&|1328|&|1436|&|3284|&|8|&|2267|&|3007|&|2397|&|3155|&|1316|&|3241|&|891|&|1989|&|1559|&|3418|&|698|&|2659|&|2295|&|402|&|1584|&|226|&|1881|&|738|&|578|&|3309|&|1193|&|3249|&|1365|&|3171|&|1219|&|3230|&|2531|&|1419|&|1654|&|944|&|1783|&|949|&|2367|&|2603|&|2098|&|2108|&|2929|&|1422|&|1389|&|665|&|3087|&|314|&|675|&|1487|&|1409|&|2534|&|1004|&|3146|&|2893|&|3071|&|3425,-5.9446073,0.79913837,-5.961468
275_2012,2012,25,0,26,7.474362528500695,NA,367|&|21|&|169|&|58|&|354|&|296|&|305|&|369|&|207|&|548|&|452|&|352|&|290|&|256|&|111|&|45|&|107|&|437|&|387|&|559|&|73|&|547|&|325|&|526|&|216,489|&|872|&|466|&|2650|&|2672|&|222|&|984|&|3353|&|1691|&|2591|&|1150|&|2331|&|1625|&|1003|&|1034|&|2789|&|131|&|1616|&|2480|&|2021|&|1791|&|1643|&|1225|&|1300|&|200|&|3015|&|3001|&|1371|&|1081|&|729|&|2709|&|2424|&|1361|&|1400|&|442|&|666|&|2051|&|2684|&|0|&|3415|&|3343|&|1829|&|1586|&|2012|&|3056|&|563|&|2878|&|3398|&|1209|&|1849|&|368|&|2530|&|1943|&|3281|&|2193|&|784|&|746|&|2502|&|3437|&|74|&|25|&|2873|&|1839|&|1779|&|1372|&|3324|&|1507|&|399|&|91|&|1381|&|3474|&|2384|&|828|&|1354|&|2350|&|1905|&|1024|&|1784|&|853|&|221|&|1258|&|644|&|742|&|3155|&|160|&|3241|&|2918|&|891|&|2739|&|1268|&|2595|&|1188|&|1989|&|1559|&|1392|&|2590|&|482|&|3258|&|402|&|1584|&|226|&|2521|&|3309|&|1624|&|3249|&|836|&|2088|&|2772|&|285|&|3359|&|2531|&|2582|&|3462|&|944|&|272|&|2736|&|2367|&|2137|&|1086|&|1030|&|2146|&|2053|&|3087|&|314|&|1487|&|3017|&|1409|&|493|&|1460|&|194|&|3425,-6.525376,1.861874,-6.7236495
64_1977,1977,32,0,-1,8.710802003688768,NA,24|&|226|&|430|&|4|&|480|&|484|&|341|&|321|&|396|&|66|&|351|&|506|&|450|&|240|&|195|&|47|&|97|&|238|&|191|&|231|&|73|&|149|&|115|&|18|&|132|&|526|&|278|&|194|&|96|&|383|&|508|&|126,2352|&|215|&|3459|&|24|&|1950|&|2334|&|2473|&|2940|&|3333|&|2212|&|27|&|1223|&|1134|&|264|&|1919|&|1938|&|2524|&|1640|&|2294|&|0|&|1185|&|2543|&|3360|&|304|&|262|&|2154|&|2015|&|860|&|934|&|2950|&|954|&|437|&|266|&|2930|&|3271|&|1421|&|1398|&|3047|&|1969|&|3403|&|1631|&|772|&|73|&|22|&|444|&|398|&|2759|&|1246|&|2229|&|3294|&|2994|&|2190|&|2348|&|2807|&|2545|&|3334,6.2975745,-1.6488582,6.5213103
175_1987,1987,31,0,1,10.200333980065919,NA,472|&|289|&|403|&|443|&|100|&|433|&|285|&|211|&|0|&|331|&|469|&|260|&|230|&|558|&|502|&|465|&|258|&|524|&|72|&|29|&|203|&|414|&|146|&|388|&|149|&|15|&|18|&|426|&|336|&|86|&|78,3028|&|2640|&|2735|&|1027|&|430|&|2463|&|2986|&|1728|&|2091|&|2690|&|2479|&|3184|&|1012|&|2686|&|2644|&|0|&|3236|&|2303|&|1115|&|628|&|3404|&|1763|&|219|&|2130|&|942|&|1240|&|596|&|1234|&|3049|&|1444|&|376|&|1079|&|395|&|1661|&|2868|&|3048|&|3247|&|611|&|414|&|1145|&|3440|&|1827|&|1171|&|2958|&|2106|&|1188|&|3296|&|980|&|1501|&|183|&|2056|&|1283|&|1985|&|1452|&|1766|&|1153|&|1557,5.72397,0.5724989,5.558101
318_2012,2012,23,0,21,8.533473846342417,NA,13|&|301|&|403|&|269|&|27|&|56|&|309|&|397|&|123|&|469|&|295|&|312|&|518|&|258|&|139|&|382|&|146|&|393|&|274|&|159|&|39|&|383|&|171,489|&|402|&|460|&|2985|&|790|&|2088|&|3437|&|442|&|3043|&|837|&|1640|&|0|&|3488|&|1174|&|329|&|1054|&|2384|&|294|&|2665|&|2092|&|1354|&|652|&|2077|&|1150|&|2331|&|2812|&|2967|&|1784|&|1625|&|1333|&|3398|&|221|&|2146|&|1034|&|2021|&|3228|&|3302|&|3408|&|160|&|1225|&|1510|&|1143|&|458|&|493|&|2549|&|257|&|2257|&|482,-7.0577602,-0.17889063,-6.8808813
