source,target,weight,phase,type,sync_component
2_1952,4_1952,12.0,1952,sync,-1
14_1952,2_1952,10.0,1952,sync,-1
44_1967,71_1967,7.0,1967,sync,-1
50_1967,68_1967,5.0,1967,sync,-1
122_1967,50_1967,2.0,1967,sync,-1
44_1967,69_1967,8.0,1967,sync,-1
44_1967,73_1967,3.0,1967,sync,-1
122_1967,73_1967,10.0,1967,sync,-1
68_1967,73_1967,4.0,1967,sync,-1
122_1967,75_1967,8.0,1967,sync,-1
44_1967,75_1967,11.0,1967,sync,-1
50_1967,75_1967,6.0,1967,sync,-1
122_1967,68_1967,4.0,1967,sync,-1
122_1967,71_1967,6.0,1967,sync,-1
131_1967,68_1967,11.0,1967,sync,-1
131_1967,69_1967,4.0,1967,sync,-1
32_1972,49_1972,15.0,1972,sync,-1
144_1972,32_1972,9.0,1972,sync,-1
214_1972,32_1972,28.0,1972,sync,-1
37_1972,49_1972,18.0,1972,sync,-1
158_1972,37_1972,36.0,1972,sync,-1
198_1972,37_1972,14.0,1972,sync,-1
144_1972,44_1972,4.0,1972,sync,-1
44_1972,49_1972,19.0,1972,sync,-1
198_1972,44_1972,9.0,1972,sync,-1
44_1972,90_1972,17.0,1972,sync,-1
214_1972,49_1972,8.0,1972,sync,-1
183_1972,90_1972,17.0,1972,sync,-1
49_1972,90_1972,26.0,1972,sync,-1
32_1972,90_1972,24.0,1972,sync,-1
144_1972,198_1972,4.0,1972,sync,-1
144_1972,37_1972,5.0,1972,sync,-1
183_1972,198_1972,3.0,1972,sync,-1
198_1972,90_1972,10.0,1972,sync,-1
198_1972,49_1972,6.0,1972,sync,-1
212_1972,214_1972,46.0,1972,sync,-1
158_1972,212_1972,10.0,1972,sync,-1
3_1977,70_1977,9.0,1977,sync,-1
3_1977,69_1977,5.0,1977,sync,-1
3_1977,8_1977,6.0,1977,sync,-1
52_1977,8_1977,16.0,1977,sync,-1
212_1977,57_1977,4.0,1977,sync,-1
52_1977,57_1977,5.0,1977,sync,-1
64_1977,97_1977,12.0,1977,sync,-1
212_1977,64_1977,9.0,1977,sync,-1
69_1977,70_1977,11.0,1977,sync,-1
69_1977,8_1977,15.0,1977,sync,-1
212_1977,70_1977,16.0,1977,sync,-1
64_1977,70_1977,22.0,1977,sync,-1
70_1977,8_1977,12.0,1977,sync,-1
52_1977,97_1977,13.0,1977,sync,-1
106_1977,97_1977,4.0,1977,sync,-1
8_1977,97_1977,10.0,1977,sync,-1
106_1977,212_1977,11.0,1977,sync,-1
106_1977,52_1977,15.0,1977,sync,-1
106_1977,57_1977,5.0,1977,sync,-1
128_1977,3_1977,5.0,1977,sync,-1
128_1977,211_1977,6.0,1977,sync,-1
128_1977,64_1977,10.0,1977,sync,-1
128_1977,69_1977,4.0,1977,sync,-1
128_1977,57_1977,6.0,1977,sync,-1
130_1977,64_1977,25.0,1977,sync,-1
130_1977,211_1977,9.0,1977,sync,-1
128_1977,130_1977,9.0,1977,sync,-1
130_1977,70_1977,9.0,1977,sync,-1
130_1977,69_1977,8.0,1977,sync,-1
173_1977,52_1977,6.0,1977,sync,-1
173_1977,8_1977,17.0,1977,sync,-1
173_1977,218_1977,8.0,1977,sync,-1
211_1977,97_1977,15.0,1977,sync,-1
211_1977,3_1977,18.0,1977,sync,-1
211_1977,212_1977,6.0,1977,sync,-1
212_1977,97_1977,7.0,1977,sync,-1
106_1977,218_1977,6.0,1977,sync,-1
218_1977,97_1977,9.0,1977,sync,-1
212_1977,218_1977,3.0,1977,sync,-1
218_1977,69_1977,8.0,1977,sync,-1
218_1977,64_1977,6.0,1977,sync,-1
128_1977,218_1977,6.0,1977,sync,-1
105_1982,40_1982,41.0,1982,sync,-1
202_1982,40_1982,36.0,1982,sync,-1
40_1982,53_1982,7.0,1982,sync,-1
40_1982,50_1982,32.0,1982,sync,-1
101_1982,41_1982,7.0,1982,sync,-1
105_1982,41_1982,22.0,1982,sync,-1
107_1982,50_1982,10.0,1982,sync,-1
50_1982,53_1982,18.0,1982,sync,-1
127_1982,53_1982,7.0,1982,sync,-1
101_1982,157_1982,6.0,1982,sync,-1
101_1982,114_1982,15.0,1982,sync,-1
101_1982,4_1982,20.0,1982,sync,-1
101_1982,105_1982,31.0,1982,sync,-1
105_1982,149_1982,5.0,1982,sync,-1
105_1982,107_1982,9.0,1982,sync,-1
107_1982,41_1982,17.0,1982,sync,-1
107_1982,40_1982,17.0,1982,sync,-1
112_1982,41_1982,25.0,1982,sync,-1
