id,phase,size,sync_component,diac_component,lineage_size,meta,source,target,x,y,z
157_2011,2011,28,-1,0,3.0596110878368945,NA,137|&|155|&|1487|&|1451|&|784|&|164|&|886|&|726|&|530|&|807|&|428|&|1035|&|1225|&|1179|&|102|&|104|&|1254|&|869|&|59|&|215|&|1481|&|710|&|1563|&|32|&|1208|&|53|&|1551|&|1594,493|&|529|&|251|&|392|&|164|&|171|&|647|&|269|&|597|&|383|&|475|&|104|&|485|&|518|&|281|&|670|&|67|&|366|&|144|&|683|&|137|&|208|&|162|&|153|&|401|&|726|&|450|&|359|&|660|&|61|&|721|&|718|&|26|&|498|&|534|&|91|&|515|&|342|&|336|&|461|&|17|&|55|&|310|&|556|&|94|&|472|&|221|&|550|&|0|&|157|&|205|&|199|&|664|&|731|&|470|&|203|&|709|&|510|&|528|&|181|&|192|&|75|&|250|&|406|&|417|&|248|&|523|&|353|&|267|&|128|&|456|&|679|&|634|&|696|&|266|&|477|&|606|&|53,-15.679544,3.1220343,16.05804
68_2003,2003,17,-1,0,0,NA,441|&|588|&|117|&|3|&|963|&|1018|&|1076|&|807|&|54|&|1239|&|693|&|936|&|1587|&|273|&|1213|&|1594|&|1499,181|&|462|&|94|&|296|&|709|&|696|&|154|&|518|&|722|&|180|&|310|&|128|&|625,3.416122,2.076781,-2.7567701
7_2007,2007,47,-1,0,1.3539693389317449,NA,1404|&|1429|&|210|&|103|&|782|&|164|&|505|&|935|&|937|&|247|&|638|&|1544|&|886|&|1008|&|870|&|1018|&|450|&|693|&|348|&|205|&|1288|&|811|&|1225|&|1581|&|1522|&|223|&|61|&|1041|&|117|&|579|&|59|&|371|&|1104|&|439|&|1022|&|356|&|1490|&|706|&|1250|&|840|&|1563|&|832|&|55|&|53|&|1282|&|719|&|949,18|&|529|&|198|&|392|&|623|&|164|&|349|&|269|&|39|&|154|&|383|&|475|&|104|&|518|&|381|&|648|&|531|&|666|&|322|&|122|&|316|&|137|&|166|&|614|&|435|&|194|&|660|&|749|&|102|&|507|&|201|&|767|&|714|&|498|&|158|&|515|&|715|&|564|&|738|&|461|&|55|&|695|&|310|&|21|&|94|&|145|&|716|&|287|&|759|&|150|&|180|&|236|&|260|&|703|&|521|&|314|&|320|&|664|&|311|&|229|&|412|&|331|&|709|&|768|&|537|&|752|&|181|&|697|&|402|&|155|&|730|&|250|&|676|&|234|&|417|&|503|&|523|&|248|&|519|&|407|&|762|&|267|&|128|&|543|&|457|&|456|&|696|&|555|&|123|&|375|&|477|&|559|&|462|&|585|&|206|&|573,2.022495,1.6032621,-1.511562
72_2009,2009,4,-1,0,2.9375,NA,693|&|117|&|1578|&|1018,129|&|523|&|160|&|94|&|423|&|540|&|518|&|392|&|17|&|695|&|128,2.2218535,3.2467577,-1.3230617
23_2009,2009,7,0,0,1.8076923076923077,NA,1321|&|155|&|1563|&|562|&|53|&|1551|&|25,265|&|248|&|78|&|120|&|94|&|769|&|518|&|623|&|498|&|263|&|53|&|602|&|477|&|321|&|392|&|229|&|564,-15.805557,3.4936907,16.267065
2_2005,2005,5,-1,0,2.6842105263157894,NA,117|&|1018|&|693|&|360|&|1039,12|&|507|&|94|&|634|&|444|&|750|&|167|&|53|&|477|&|310|&|166|&|392|&|380|&|503,2.026585,3.2943966,-1.122068
28_2005,2005,10,-1,0,2.543478260869565,NA,710|&|886|&|155|&|726|&|750|&|1377|&|35|&|164|&|70|&|1481,29|&|493|&|287|&|392|&|406|&|164|&|267|&|128|&|674|&|456|&|104|&|507|&|582|&|518|&|477|&|178|&|135|&|515|&|81|&|229|&|709|&|754|&|55|&|531|&|310|&|467|&|666,-16.010231,3.9535398,16.573112
32_2013,2013,19,-1,0,8.555555555555557,NA,137|&|155|&|562|&|382|&|1092|&|164|&|886|&|1488|&|701|&|1179|&|104|&|59|&|1481|&|710|&|1321|&|32|&|390|&|53|&|35,454|&|316|&|137|&|94|&|287|&|180|&|392|&|234|&|623|&|509|&|268|&|469|&|38|&|388|&|523|&|476|&|243|&|256|&|269|&|194|&|267|&|128|&|625|&|44|&|207|&|320|&|411|&|456|&|104|&|696|&|201|&|111|&|518|&|498|&|555|&|605|&|282|&|477|&|381|&|167|&|488|&|358|&|742|&|281|&|327|&|462|&|302|&|522|&|709|&|186|&|680|&|249|&|510|&|451|&|6|&|55|&|310|&|100|&|144|&|418,-15.877387,3.8118021,16.410936
102_2009,2009,8,0,0,1.7735849056603772,NA,320|&|137|&|212|&|1208|&|759|&|1225|&|164|&|1382,683|&|21|&|94|&|180|&|166|&|392|&|164|&|438|&|772|&|523|&|260|&|132|&|376|&|199|&|592|&|671|&|42|&|383|&|674|&|475|&|456|&|507|&|518|&|48|&|758|&|477|&|588|&|709|&|9|&|186|&|668|&|55|&|686|&|326,-15.764746,3.0469606,16.123432
167_2011,2011,17,-1,0,0.6666666666666666,NA,401|&|880|&|1139|&|117|&|201|&|963|&|1325|&|1018|&|521|&|693|&|1401|&|6|&|730|&|1033|&|158|&|625|&|1388,104|&|94|&|310|&|726|&|518|&|307|&|606|&|477|&|135|&|417,2.614033,3.1548023,-1.7258735
15_2009,2009,12,-1,0,2.3755622188905545,NA,1270|&|1304|&|1229|&|338|&|1128|&|1073|&|253|&|909|&|1549|&|202|&|439|&|1346,181|&|697|&|74|&|172|&|287|&|250|&|392|&|406|&|164|&|659|&|523|&|617|&|256|&|269|&|713|&|701|&|199|&|267|&|128|&|383|&|679|&|104|&|731|&|201|&|518|&|564|&|327|&|441|&|67|&|709|&|186|&|148|&|6|&|55|&|310,0.2102904,-4.4309053,-1.1530437
