source,target,weight,phase,type,sync_component
143_2005,78_2005,1.0,2005,sync,-1
23_2009,93_2009,5.0,2009,sync,-1
31_2009,95_2009,3.0,2009,sync,-1
102_2009,93_2009,8.0,2009,sync,-1
213_2011,48_2011,3.0,2011,sync,-1
184_2015,203_2015,2.0,2015,sync,-1
36_2001,76_2003,0.034482758620689655,2001,diac,0
42_2001,31_2003,0.04878048780487805,2001,diac,0
20_2001,76_2003,0.04878048780487805,2001,diac,0
31_2003,20_2005,0.03278688524590164,2003,diac,0
31_2003,78_2005,0.024390243902439025,2003,diac,0
31_2003,143_2005,0.023809523809523808,2003,diac,0
76_2003,65_2005,0.04225352112676056,2003,diac,0
76_2003,28_2005,0.06521739130434782,2003,diac,0
76_2003,78_2005,0.047619047619047616,2003,diac,0
76_2003,59_2005,0.04878048780487805,2003,diac,0
68_2003,2_2005,0.15789473684210525,2003,diac,0
68_2003,126_2005,0.08695652173913043,2003,diac,0
68_2003,53_2005,0.047619047619047616,2003,diac,0
84_2003,85_2005,0.25,2003,diac,1
2_2005,7_2007,0.061224489795918366,2005,diac,0
65_2005,86_2007,0.028985507246376812,2005,diac,0
28_2005,7_2007,0.03636363636363636,2005,diac,0
20_2005,156_2007,0.012987012987012988,2005,diac,0
114_2005,7_2007,0.05263157894736842,2005,diac,0
114_2005,86_2007,0.0425531914893617,2005,diac,0
126_2005,68_2007,0.07317073170731707,2005,diac,0
78_2005,86_2007,0.025,2005,diac,0
53_2005,68_2007,0.07894736842105263,2005,diac,0
7_2007,23_2009,0.038461538461538464,2007,diac,0
7_2007,72_2009,0.0625,2007,diac,0
7_2007,102_2009,0.03773584905660377,2007,diac,0
156_2007,93_2009,0.015151515151515152,2007,diac,0
156_2007,7_2009,0.029411764705882353,2007,diac,0
86_2007,15_2009,0.043478260869565216,2007,diac,0
86_2007,55_2009,0.023809523809523808,2007,diac,0
86_2007,95_2009,0.05,2007,diac,0
2_2009,48_2011,0.19047619047619047,2009,diac,0
7_2009,48_2011,0.03125,2009,diac,0
23_2009,157_2011,0.12903225806451613,2009,diac,0
15_2009,17_2011,0.018867924528301886,2009,diac,0
15_2009,102_2011,0.02127659574468085,2009,diac,0
15_2009,170_2011,0.037037037037037035,2009,diac,0
55_2009,213_2011,0.034482758620689655,2009,diac,0
95_2009,157_2011,0.0625,2009,diac,0
126_2009,102_2011,0.04878048780487805,2009,diac,0
72_2009,167_2011,0.16666666666666666,2009,diac,0
102_2009,157_2011,0.125,2009,diac,0
118_2009,201_2011,0.2222222222222222,2009,diac,2
213_2011,207_2013,0.020202020202020204,2011,diac,0
213_2011,224_2013,0.05303030303030303,2011,diac,0
213_2011,188_2013,0.028985507246376812,2011,diac,0
167_2011,132_2013,0.18518518518518517,2011,diac,0
157_2011,32_2013,0.3055555555555556,2011,diac,0
17_2011,207_2013,0.034482758620689655,2011,diac,0
207_2013,184_2015,0.027777777777777776,2013,diac,0
207_2013,50_2015,0.028985507246376812,2013,diac,0
224_2013,78_2015,0.029850746268656716,2013,diac,0
224_2013,184_2015,0.034722222222222224,2013,diac,0
32_2013,207_2015,0.16279069767441862,2013,diac,0
132_2013,78_2015,0.06349206349206349,2013,diac,0
188_2013,184_2015,0.0125,2013,diac,0
203_2015,128_2017,0.056818181818181816,2015,diac,0
203_2015,79_2017,0.06666666666666667,2015,diac,0
203_2015,75_2017,0.030303030303030304,2015,diac,0
78_2015,128_2017,0.015503875968992248,2015,diac,0
78_2015,75_2017,0.07462686567164178,2015,diac,0
223_2015,128_2017,0.01910828025477707,2015,diac,0
223_2015,249_2017,0.05,2015,diac,0
184_2015,128_2017,0.02158273381294964,2015,diac,0
184_2015,249_2017,0.02857142857142857,2015,diac,0
184_2015,134_2017,0.025,2015,diac,0
207_2015,169_2017,0.2826086956521739,2015,diac,0
50_2015,249_2017,0.0625,2015,diac,0
128_2017,88_2019,0.03424657534246575,2017,diac,0
249_2017,88_2019,0.017391304347826087,2017,diac,0
249_2017,30_2019,0.08620689655172414,2017,diac,0
249_2017,106_2019,0.04285714285714286,2017,diac,0
79_2017,79_2019,0.034482758620689655,2017,diac,0
79_2017,130_2019,0.03389830508474576,2017,diac,0
169_2017,196_2019,0.3684210526315789,2017,diac,0
75_2017,79_2019,0.12195121951219512,2017,diac,0
