id,phase,size,sync_component,diac_component,lineage_size,meta,source,target,x,y,z
12_2005,2005,4,0,0,2.125,NA,310|&|392|&|94|&|518,645|&|881|&|414|&|833|&|133|&|98|&|51|&|250|&|117|&|482|&|227|&|1062|&|1044|&|726|&|845|&|411|&|1492|&|648|&|164|&|441|&|1039|&|800|&|1402|&|110|&|70|&|1098|&|397|&|1525|&|478|&|1441|&|886|&|358|&|1481|&|1224|&|1254|&|1214|&|195|&|494|&|35|&|1073|&|109|&|202|&|187|&|788|&|584|&|114|&|38|&|410|&|1012|&|1374|&|1568|&|573|&|52|&|995|&|576|&|544|&|1579|&|31|&|904|&|693|&|305|&|1018|&|1533|&|981|&|678|&|1516|&|233|&|538|&|1154|&|1478|&|1346|&|1005|&|306|&|92|&|231|&|817|&|1324|&|166|&|587|&|286|&|1546|&|1461|&|1575|&|861|&|436|&|807|&|480|&|36|&|865|&|1002|&|1594|&|1317|&|360|&|1553|&|942|&|1566|&|193|&|950|&|684|&|120|&|96|&|979|&|623|&|606|&|220|&|1453|&|839|&|1409|&|274|&|423|&|734|&|1163|&|714|&|9|&|34|&|875|&|128|&|866|&|1413,3.448416,2.7756639,-3.56805
3_2009,2009,3,0,0,1.6666666666666665,NA,310|&|709|&|518,971|&|531|&|372|&|1499|&|1578|&|117|&|283|&|1213|&|88|&|616|&|3|&|648|&|188|&|164|&|1016|&|740|&|1334|&|293|&|1007|&|800|&|439|&|44|&|909|&|472|&|420|&|253|&|115|&|679|&|1525|&|224|&|20|&|886|&|1254|&|1304|&|1509|&|1229|&|882|&|888|&|899|&|1073|&|641|&|203|&|1104|&|588|&|202|&|137|&|198|&|287|&|1597|&|1407|&|1549|&|148|&|332|&|713|&|410|&|1351|&|388|&|1222|&|1424|&|693|&|216|&|1018|&|1489|&|1208|&|987|&|1270|&|1346|&|1382|&|991|&|1486|&|135|&|338|&|530|&|1063|&|12|&|1093|&|953|&|955|&|1563|&|294|&|807|&|1212|&|1225|&|1476|&|1594|&|395|&|1198|&|759|&|532|&|335|&|1128|&|282|&|349|&|320|&|155|&|839|&|558|&|936|&|341|&|1321|&|212|&|1413,2.3998077,3.0874355,-2.5320644
42_2011,2011,6,0,0,3.9759759759759756,NA,164|&|269|&|461|&|477|&|128|&|267,869|&|1232|&|1381|&|1263|&|95|&|512|&|117|&|379|&|876|&|676|&|506|&|1283|&|1189|&|895|&|68|&|968|&|726|&|104|&|984|&|1120|&|1497|&|1259|&|164|&|293|&|53|&|926|&|439|&|315|&|710|&|24|&|907|&|215|&|359|&|1498|&|1525|&|1404|&|886|&|302|&|111|&|1481|&|703|&|1509|&|515|&|772|&|336|&|1378|&|33|&|719|&|1104|&|137|&|136|&|1487|&|59|&|410|&|174|&|1012|&|1508|&|351|&|868|&|1133|&|1596|&|1462|&|693|&|683|&|1018|&|1208|&|157|&|1000|&|702|&|454|&|1346|&|1552|&|1504|&|801|&|135|&|231|&|1063|&|1547|&|659|&|32|&|791|&|1563|&|1179|&|1430|&|485|&|1225|&|957|&|1360|&|956|&|1193|&|1198|&|234|&|1413|&|578|&|671|&|1359|&|1291|&|132|&|1128|&|787|&|155|&|566|&|725|&|300|&|1551|&|1022|&|789|&|79|&|1309|&|477|&|1435|&|1375|&|1503|&|828|&|1001|&|130|&|308|&|1023|&|1484|&|69|&|784,-0.048894767,2.541281,-0.06435333
222_2011,2011,5,0,0,2.806349206349206,NA,709|&|104|&|507|&|250|&|523,869|&|1381|&|21|&|117|&|876|&|1079|&|1385|&|968|&|726|&|104|&|1259|&|164|&|631|&|710|&|463|&|215|&|183|&|1525|&|886|&|1509|&|720|&|694|&|515|&|1378|&|33|&|1104|&|763|&|137|&|1487|&|1029|&|1327|&|59|&|174|&|1351|&|1222|&|1508|&|1408|&|1176|&|693|&|1576|&|1018|&|6|&|1208|&|248|&|1240|&|1000|&|702|&|1131|&|1243|&|1552|&|1504|&|135|&|231|&|651|&|1547|&|1093|&|32|&|659|&|742|&|1179|&|536|&|718|&|1430|&|485|&|957|&|1225|&|47|&|1303|&|1198|&|1268|&|671|&|578|&|1534|&|427|&|1359|&|337|&|1128|&|605|&|155|&|566|&|1087|&|1551|&|477|&|860|&|963|&|1503|&|1001|&|130|&|308|&|1413,0.6107106,3.3541026,-0.75440913
144_2005,2005,3,0,0,1.8666666666666667,NA,709|&|104|&|523,1002|&|1594|&|645|&|52|&|881|&|1156|&|414|&|576|&|110|&|1317|&|904|&|1553|&|1521|&|942|&|1098|&|1525|&|397|&|1566|&|981|&|478|&|678|&|886|&|96|&|1516|&|979|&|358|&|1254|&|1154|&|195|&|1346|&|35|&|606|&|977|&|36|&|1044|&|1005|&|1073|&|726|&|92|&|817|&|839|&|109|&|423|&|166|&|202|&|187|&|584|&|81|&|1163|&|114|&|648|&|286|&|1461|&|38|&|164|&|441|&|9|&|34|&|807|&|875|&|800|&|410|&|1012|&|1374|&|1413|&|865,2.9563742,2.147545,-3.0524647
59_2005,2005,38,0,5,4.77363009135301,NA,181|&|540|&|774|&|412|&|307|&|664|&|234|&|18|&|6|&|502|&|120|&|248|&|451|&|145|&|768|&|488|&|22|&|520|&|320|&|415|&|428|&|311|&|581|&|648|&|262|&|390|&|402|&|260|&|141|&|740|&|486|&|158|&|150|&|614|&|129|&|388|&|730|&|180,1002|&|1594|&|645|&|52|&|881|&|576|&|1156|&|414|&|110|&|1521|&|1553|&|904|&|1098|&|397|&|1566|&|193|&|478|&|981|&|684|&|678|&|979|&|358|&|1254|&|1154|&|1346|&|977|&|1073|&|817|&|1409|&|588|&|109|&|166|&|202|&|584|&|81|&|187|&|734|&|1163|&|114|&|788|&|1492|&|286|&|1461|&|441|&|9|&|34|&|436|&|807|&|1353|&|866|&|1374|&|1568,1.9112545,-1.4300867,-1.8719723
54_2003,2003,2,0,0,1.25,NA,310|&|518,1499|&|366|&|1247|&|1355|&|1213|&|1414|&|54|&|1466|&|1046|&|781|&|980|&|258|&|611|&|3|&|856|&|164|&|441|&|288|&|467|&|226|&|484|&|710|&|816|&|209|&|1098|&|886|&|358|&|1304|&|1186|&|1229|&|1512|&|1073|&|1045|&|1361|&|116|&|1183|&|355|&|40|&|1104|&|99|&|588|&|1076|&|519|&|1421|&|273|&|291|&|168|&|514|&|1336|&|147|&|1194|&|483|&|804|&|678|&|297|&|1307|&|306|&|1239|&|290|&|901|&|974|&|1501|&|493|&|103|&|1575|&|1426|&|807|&|486|&|1464|&|1594|&|389|&|1256|&|1553|&|1587|&|843|&|844|&|1472|&|978|&|169|&|370|&|796|&|78|&|734|&|1347|&|714|&|936|&|9|&|932|&|66,4.6708984,2.3571749,-4.7737246
6_2011,2011,3,0,0,2.2777777777777777,NA,310|&|518|&|55,869|&|1232|&|862|&|1381|&|682|&|1263|&|1484|&|21|&|1578|&|95|&|117|&|512|&|126|&|876|&|676|&|506|&|1283|&|1079|&|281|&|895|&|1385|&|68|&|1125|&|968|&|726|&|229|&|104|&|984|&|1259|&|1099|&|1077|&|164|&|794|&|631|&|293|&|53|&|926|&|800|&|439|&|710|&|24|&|907|&|215|&|359|&|1525|&|1404|&|1075|&|886|&|102|&|111|&|1254|&|1481|&|1509|&|720|&|694|&|772|&|515|&|336|&|1378|&|719|&|1104|&|415|&|763|&|137|&|1550|&|1487|&|1029|&|1327|&|59|&|1451|&|496|&|884|&|45|&|410|&|174|&|1351|&|1222|&|1012|&|1508|&|1408|&|1133|&|351|&|868|&|1596|&|1176|&|1462|&|269|&|693|&|683|&|1018|&|6|&|1485|&|1208|&|268|&|248|&|1240|&|157|&|1000|&|702|&|454|&|1131|&|1552|&|1243|&|1346|&|1504|&|571|&|731|&|801|&|135|&|1166|&|231|&|555|&|530|&|1380|&|651|&|428|&|1063|&|1547|&|1093|&|32|&|659|&|204|&|742|&|791|&|1369|&|1563|&|1179|&|1052|&|536|&|718|&|69|&|485|&|1225|&|47|&|957|&|2|&|1360|&|1303|&|956|&|1198|&|607|&|671|&|578|&|1534|&|1359|&|337|&|1291|&|1128|&|132|&|1191|&|787|&|605|&|155|&|566|&|725|&|300|&|1551|&|1022|&|789|&|79|&|1435|&|477|&|860|&|963|&|660|&|1503|&|828|&|1328|&|1001|&|130|&|308|&|998|&|1413|&|87|&|784,0.59528345,3.6593394,-0.7506075
49_2001,2001,3,0,0,2.3823529411764706,NA,392|&|518|&|477,727|&|168|&|1456|&|160|&|591|&|1329|&|5|&|86|&|886|&|1208|&|67|&|560|&|1560|&|1073|&|1151|&|155|&|256|&|734|&|916|&|766|&|1563|&|1118|&|1473|&|164|&|53|&|467|&|163,5.109444,1.9148886,-5.195123
156_2009,2009,6,0,0,3.5095959595959596,NA,660|&|164|&|269|&|507|&|659|&|128,1594|&|472|&|1476|&|115|&|531|&|372|&|693|&|1525|&|1018|&|335|&|1578|&|1489|&|117|&|224|&|20|&|886|&|283|&|1128|&|988|&|1254|&|987|&|1213|&|1304|&|349|&|882|&|888|&|1229|&|1382|&|320|&|991|&|899|&|1073|&|1486|&|203|&|338|&|530|&|1104|&|839|&|588|&|88|&|1063|&|616|&|1093|&|287|&|953|&|3|&|1597|&|558|&|936|&|294|&|164|&|1016|&|740|&|713|&|807|&|1007|&|1212|&|410|&|212|&|800|&|1351|&|1222|&|889,0.72020555,1.557144,-0.79545027
