source,target,weight,phase,type,sync_component
14_1997,17_1997,11.0,1997,sync,-1
17_1997,2_1997,7.0,1997,sync,-1
10_1999,7_1999,12.0,1999,sync,-1
10_1999,16_1999,16.0,1999,sync,-1
10_1999,21_1999,8.0,1999,sync,-1
10_1999,39_1999,5.0,1999,sync,-1
2_2001,58_2001,16.0,2001,sync,-1
2_2001,9_2001,4.0,2001,sync,-1
18_2001,49_2001,24.0,2001,sync,-1
29_2001,49_2001,17.0,2001,sync,-1
29_2001,9_2001,9.0,2001,sync,-1
29_2001,63_2001,14.0,2001,sync,-1
31_2001,49_2001,18.0,2001,sync,-1
31_2001,9_2001,16.0,2001,sync,-1
41_2001,63_2001,33.0,2001,sync,-1
2_2001,41_2001,11.0,2001,sync,-1
49_2001,58_2001,25.0,2001,sync,-1
31_2001,58_2001,11.0,2001,sync,-1
18_2001,63_2001,15.0,2001,sync,-1
49_2001,63_2001,7.0,2001,sync,-1
122_2003,12_2003,6.0,2003,sync,-1
12_2003,143_2003,6.0,2003,sync,-1
18_2003,58_2003,4.0,2003,sync,-1
26_2003,83_2003,31.0,2003,sync,-1
143_2003,26_2003,12.0,2003,sync,-1
122_2003,30_2003,8.0,2003,sync,-1
30_2003,48_2003,9.0,2003,sync,-1
30_2003,40_2003,21.0,2003,sync,-1
143_2003,30_2003,9.0,2003,sync,-1
140_2003,30_2003,12.0,2003,sync,-1
40_2003,65_2003,9.0,2003,sync,-1
40_2003,54_2003,18.0,2003,sync,-1
140_2003,40_2003,14.0,2003,sync,-1
47_2003,54_2003,10.0,2003,sync,-1
26_2003,47_2003,11.0,2003,sync,-1
47_2003,48_2003,14.0,2003,sync,-1
114_2003,48_2003,7.0,2003,sync,-1
143_2003,48_2003,9.0,2003,sync,-1
26_2003,48_2003,9.0,2003,sync,-1
18_2003,54_2003,26.0,2003,sync,-1
54_2003,58_2003,13.0,2003,sync,-1
143_2003,58_2003,15.0,2003,sync,-1
48_2003,67_2003,8.0,2003,sync,-1
140_2003,67_2003,14.0,2003,sync,-1
65_2003,67_2003,7.0,2003,sync,-1
114_2003,67_2003,7.0,2003,sync,-1
26_2003,67_2003,21.0,2003,sync,-1
18_2003,81_2003,20.0,2003,sync,-1
54_2003,83_2003,27.0,2003,sync,-1
65_2003,83_2003,10.0,2003,sync,-1
48_2003,83_2003,20.0,2003,sync,-1
26_2003,90_2003,36.0,2003,sync,-1
54_2003,90_2003,12.0,2003,sync,-1
65_2003,90_2003,6.0,2003,sync,-1
108_2003,54_2003,14.0,2003,sync,-1
108_2003,114_2003,12.0,2003,sync,-1
108_2003,122_2003,18.0,2003,sync,-1
108_2003,12_2003,18.0,2003,sync,-1
114_2003,18_2003,11.0,2003,sync,-1
114_2003,122_2003,3.0,2003,sync,-1
114_2003,140_2003,5.0,2003,sync,-1
122_2003,40_2003,17.0,2003,sync,-1
122_2003,18_2003,14.0,2003,sync,-1
135_2003,143_2003,42.0,2003,sync,-1
135_2003,54_2003,28.0,2003,sync,-1
135_2003,30_2003,42.0,2003,sync,-1
12_2003,135_2003,28.0,2003,sync,-1
135_2003,48_2003,42.0,2003,sync,-1
135_2003,81_2003,28.0,2003,sync,-1
140_2003,54_2003,7.0,2003,sync,-1
122_2003,140_2003,11.0,2003,sync,-1
140_2003,58_2003,11.0,2003,sync,-1
143_2003,90_2003,15.0,2003,sync,-1
12_2005,134_2005,39.0,2005,sync,-1
14_2005,169_2005,41.0,2005,sync,-1
12_2005,14_2005,47.0,2005,sync,-1
12_2005,19_2005,29.0,2005,sync,-1
12_2005,59_2005,74.0,2005,sync,-1
110_2005,59_2005,55.0,2005,sync,-1
169_2005,59_2005,29.0,2005,sync,-1
144_2005,59_2005,66.0,2005,sync,-1
12_2005,82_2005,20.0,2005,sync,-1
82_2005,85_2005,11.0,2005,sync,-1
169_2005,82_2005,18.0,2005,sync,-1
14_2005,85_2005,31.0,2005,sync,-1
140_2005,85_2005,49.0,2005,sync,-1
104_2005,12_2005,36.0,2005,sync,-1
110_2005,12_2005,24.0,2005,sync,-1
104_2005,110_2005,57.0,2005,sync,-1
110_2005,124_2005,22.0,2005,sync,-1
124_2005,12_2005,24.0,2005,sync,-1
12_2005,140_2005,64.0,2005,sync,-1
140_2005,169_2005,19.0,2005,sync,-1
140_2005,144_2005,49.0,2005,sync,-1
110_2005,144_2005,16.0,2005,sync,-1
104_2005,144_2005,20.0,2005,sync,-1
134_2005,169_2005,21.0,2005,sync,-1
16_2007,1_2007,24.0,2007,sync,-1
119_2007,16_2007,11.0,2007,sync,-1
116_2007,41_2007,8.0,2007,sync,-1
198_2007,41_2007,10.0,2007,sync,-1
1_2007,41_2007,18.0,2007,sync,-1
41_2007,71_2007,31.0,2007,sync,-1
155_2007,58_2007,10.0,2007,sync,-1
58_2007,73_2007,9.0,2007,sync,-1
41_2007,58_2007,28.0,2007,sync,-1
58_2007,71_2007,9.0,2007,sync,-1
16_2007,71_2007,23.0,2007,sync,-1
1_2007,71_2007,7.0,2007,sync,-1
16_2007,73_2007,16.0,2007,sync,-1
166_2007,73_2007,9.0,2007,sync,-1
198_2007,73_2007,7.0,2007,sync,-1
73_2007,82_2007,13.0,2007,sync,-1
119_2007,73_2007,9.0,2007,sync,-1
155_2007,73_2007,18.0,2007,sync,-1
41_2007,73_2007,10.0,2007,sync,-1
116_2007,73_2007,10.0,2007,sync,-1
198_2007,82_2007,13.0,2007,sync,-1
16_2007,82_2007,31.0,2007,sync,-1
119_2007,82_2007,41.0,2007,sync,-1
116_2007,198_2007,24.0,2007,sync,-1
116_2007,133_2007,8.0,2007,sync,-1
116_2007,119_2007,11.0,2007,sync,-1
119_2007,1_2007,24.0,2007,sync,-1
123_2007,82_2007,37.0,2007,sync,-1
123_2007,1_2007,19.0,2007,sync,-1
123_2007,198_2007,18.0,2007,sync,-1
133_2007,184_2007,10.0,2007,sync,-1
133_2007,1_2007,7.0,2007,sync,-1
133_2007,16_2007,36.0,2007,sync,-1
133_2007,82_2007,11.0,2007,sync,-1
133_2007,198_2007,10.0,2007,sync,-1
139_2007,196_2007,10.0,2007,sync,-1
133_2007,139_2007,24.0,2007,sync,-1
139_2007,198_2007,30.0,2007,sync,-1
139_2007,21_2007,10.0,2007,sync,-1
139_2007,82_2007,12.0,2007,sync,-1
139_2007,16_2007,20.0,2007,sync,-1
150_2007,1_2007,20.0,2007,sync,-1
150_2007,73_2007,29.0,2007,sync,-1
150_2007,198_2007,11.0,2007,sync,-1
150_2007,58_2007,32.0,2007,sync,-1
155_2007,1_2007,25.0,2007,sync,-1
155_2007,21_2007,6.0,2007,sync,-1
155_2007,198_2007,10.0,2007,sync,-1
155_2007,196_2007,7.0,2007,sync,-1
166_2007,1_2007,36.0,2007,sync,-1
166_2007,21_2007,14.0,2007,sync,-1
119_2007,166_2007,21.0,2007,sync,-1
166_2007,198_2007,17.0,2007,sync,-1
184_2007,1_2007,23.0,2007,sync,-1
119_2007,184_2007,9.0,2007,sync,-1
184_2007,82_2007,17.0,2007,sync,-1
188_2007,1_2007,19.0,2007,sync,-1
188_2007,21_2007,12.0,2007,sync,-1
188_2007,82_2007,39.0,2007,sync,-1
188_2007,73_2007,16.0,2007,sync,-1
188_2007,198_2007,13.0,2007,sync,-1
196_2007,1_2007,26.0,2007,sync,-1
196_2007,82_2007,17.0,2007,sync,-1
196_2007,73_2007,34.0,2007,sync,-1
188_2007,196_2007,14.0,2007,sync,-1
119_2007,198_2007,26.0,2007,sync,-1
134_2009,3_2009,32.0,2009,sync,-1
3_2009,41_2009,72.0,2009,sync,-1
115_2009,17_2009,16.0,2009,sync,-1
17_2009,41_2009,27.0,2009,sync,-1
120_2009,25_2009,16.0,2009,sync,-1
25_2009,41_2009,30.0,2009,sync,-1
25_2009,58_2009,18.0,2009,sync,-1
17_2009,25_2009,8.0,2009,sync,-1
134_2009,25_2009,32.0,2009,sync,-1
3_2009,58_2009,19.0,2009,sync,-1
58_2009,60_2009,14.0,2009,sync,-1
156_2009,58_2009,29.0,2009,sync,-1
41_2009,58_2009,44.0,2009,sync,-1
25_2009,60_2009,28.0,2009,sync,-1
3_2009,60_2009,19.0,2009,sync,-1
25_2009,62_2009,28.0,2009,sync,-1
3_2009,62_2009,30.0,2009,sync,-1
17_2009,80_2009,16.0,2009,sync,-1
156_2009,80_2009,70.0,2009,sync,-1
3_2009,80_2009,45.0,2009,sync,-1
58_2009,80_2009,43.0,2009,sync,-1
25_2009,99_2009,21.0,2009,sync,-1
17_2009,99_2009,22.0,2009,sync,-1
115_2009,99_2009,11.0,2009,sync,-1
173_2009,99_2009,10.0,2009,sync,-1
115_2009,3_2009,28.0,2009,sync,-1
115_2009,58_2009,25.0,2009,sync,-1
115_2009,156_2009,24.0,2009,sync,-1
115_2009,120_2009,10.0,2009,sync,-1
120_2009,3_2009,23.0,2009,sync,-1
120_2009,134_2009,8.0,2009,sync,-1
120_2009,17_2009,14.0,2009,sync,-1
142_2009,3_2009,18.0,2009,sync,-1
142_2009,58_2009,48.0,2009,sync,-1
142_2009,25_2009,21.0,2009,sync,-1
156_2009,41_2009,45.0,2009,sync,-1
134_2009,156_2009,19.0,2009,sync,-1
173_2009,60_2009,14.0,2009,sync,-1
224_2011,6_2011,39.0,2011,sync,-1
13_2011,6_2011,14.0,2011,sync,-1
13_2011,222_2011,14.0,2011,sync,-1
13_2011,42_2011,15.0,2011,sync,-1
136_2011,13_2011,16.0,2011,sync,-1
32_2011,6_2011,28.0,2011,sync,-1
32_2011,42_2011,28.0,2011,sync,-1
224_2011,42_2011,19.0,2011,sync,-1
42_2011,6_2011,17.0,2011,sync,-1
222_2011,42_2011,24.0,2011,sync,-1
112_2011,58_2011,10.0,2011,sync,-1
58_2011,6_2011,14.0,2011,sync,-1
42_2011,58_2011,52.0,2011,sync,-1
224_2011,59_2011,12.0,2011,sync,-1
59_2011,6_2011,29.0,2011,sync,-1
42_2011,59_2011,28.0,2011,sync,-1
13_2011,59_2011,25.0,2011,sync,-1
112_2011,59_2011,11.0,2011,sync,-1
222_2011,70_2011,16.0,2011,sync,-1
222_2011,97_2011,11.0,2011,sync,-1
132_2011,97_2011,46.0,2011,sync,-1
232_2011,97_2011,28.0,2011,sync,-1
112_2011,6_2011,26.0,2011,sync,-1
112_2011,224_2011,9.0,2011,sync,-1
112_2011,222_2011,41.0,2011,sync,-1
112_2011,42_2011,27.0,2011,sync,-1
115_2011,222_2011,14.0,2011,sync,-1
115_2011,6_2011,21.0,2011,sync,-1
115_2011,13_2011,25.0,2011,sync,-1
115_2011,42_2011,25.0,2011,sync,-1
132_2011,6_2011,19.0,2011,sync,-1
132_2011,13_2011,8.0,2011,sync,-1
136_2011,42_2011,59.0,2011,sync,-1
136_2011,6_2011,33.0,2011,sync,-1
136_2011,222_2011,34.0,2011,sync,-1
136_2011,97_2011,16.0,2011,sync,-1
139_2011,59_2011,29.0,2011,sync,-1
139_2011,13_2011,16.0,2011,sync,-1
139_2011,42_2011,18.0,2011,sync,-1
139_2011,32_2011,29.0,2011,sync,-1
139_2011,6_2011,12.0,2011,sync,-1
139_2011,141_2011,18.0,2011,sync,-1
141_2011,97_2011,11.0,2011,sync,-1
141_2011,222_2011,43.0,2011,sync,-1
13_2011,141_2011,17.0,2011,sync,-1
165_2011,6_2011,18.0,2011,sync,-1
13_2011,165_2011,36.0,2011,sync,-1
165_2011,222_2011,32.0,2011,sync,-1
141_2011,165_2011,11.0,2011,sync,-1
165_2011,247_2011,11.0,2011,sync,-1
192_2011,42_2011,24.0,2011,sync,-1
13_2011,192_2011,10.0,2011,sync,-1
192_2011,6_2011,24.0,2011,sync,-1
192_2011,247_2011,6.0,2011,sync,-1
115_2011,192_2011,15.0,2011,sync,-1
192_2011,224_2011,10.0,2011,sync,-1
192_2011,32_2011,6.0,2011,sync,-1
222_2011,247_2011,18.0,2011,sync,-1
222_2011,6_2011,15.0,2011,sync,-1
222_2011,224_2011,10.0,2011,sync,-1
139_2011,222_2011,15.0,2011,sync,-1
232_2011,6_2011,26.0,2011,sync,-1
139_2011,232_2011,18.0,2011,sync,-1
13_2011,232_2011,10.0,2011,sync,-1
232_2011,247_2011,14.0,2011,sync,-1
232_2011,70_2011,9.0,2011,sync,-1
247_2011,6_2011,41.0,2011,sync,-1
13_2011,247_2011,35.0,2011,sync,-1
1_2013,29_2013,17.0,2013,sync,-1
1_2013,92_2013,16.0,2013,sync,-1
1_2013,51_2013,13.0,2013,sync,-1
1_2013,27_2013,33.0,2013,sync,-1
133_2013,1_2013,56.0,2013,sync,-1
108_2013,9_2013,15.0,2013,sync,-1
51_2013,9_2013,11.0,2013,sync,-1
